epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0333,3.13653,4.19256,3.96852,0.00124,0.39932,0.00874,0.00248,2.69388,4.3282,3.70019,0.0702521,0.00330532,0.00330532
2,31.5299,3.00191,3.81414,3.54131,0.31564,0.27716,0.04878,0.0138,2.72084,5.94753,3.48373,0.0402083,0.00659484,0.00659484
3,46.0982,2.77983,3.44851,3.2458,0.18459,0.15106,0.04394,0.01292,2.45477,4.82514,3.15392,0.0101205,0.00984036,0.00984036
4,58.6874,2.55856,3.22089,2.99737,0.01708,0.12385,0.012,0.00329,2.55436,5.13674,3.36287,0.009802,0.009802,0.009802
5,72.1086,2.31233,2.95175,2.75944,0.13034,0.49562,0.2205,0.07973,2.13405,4.49353,2.77933,0.009736,0.009736,0.009736
6,86.2248,2.12828,2.74838,2.57981,0.20306,0.3544,0.16888,0.06719,2.03162,3.05484,2.70279,0.00967,0.00967,0.00967
7,100.107,1.9899,2.58887,2.45528,0.28395,0.31186,0.2131,0.07256,2.04142,3.02306,2.62879,0.009604,0.009604,0.009604
8,114.506,1.87817,2.42049,2.33379,0.37606,0.51036,0.35249,0.15998,1.82395,2.64386,2.42693,0.009538,0.009538,0.009538
9,129.099,1.8236,2.33674,2.26521,0.30518,0.39665,0.30972,0.15907,1.89947,2.98378,2.45615,0.009472,0.009472,0.009472
10,143.89,1.78677,2.29671,2.22356,0.33998,0.54779,0.39535,0.17239,1.83991,2.706,2.36132,0.009406,0.009406,0.009406
11,157.858,1.71935,2.19814,2.15859,0.42876,0.51673,0.46779,0.25416,1.6651,2.1168,2.22998,0.00934,0.00934,0.00934
12,172.197,1.69212,2.12126,2.12945,0.42062,0.50369,0.45223,0.22305,1.72666,2.23192,2.24344,0.009274,0.009274,0.009274
13,186.954,1.65443,2.08681,2.09455,0.38986,0.50348,0.44183,0.22761,1.77636,2.12355,2.31204,0.009208,0.009208,0.009208
14,201.508,1.64222,2.05351,2.07574,0.39769,0.54065,0.45681,0.25733,1.67163,2.08918,2.2227,0.009142,0.009142,0.009142
15,216.049,1.63559,2.03857,2.06523,0.39588,0.62045,0.49669,0.24467,1.7196,2.00753,2.24745,0.009076,0.009076,0.009076
16,230.686,1.60265,1.95348,2.02812,0.41969,0.60315,0.49049,0.23395,1.72459,1.95393,2.26234,0.00901,0.00901,0.00901
17,245.376,1.58242,1.92476,2.0099,0.40715,0.63024,0.47182,0.25112,1.68725,2.04238,2.20976,0.008944,0.008944,0.008944
18,260.134,1.58563,1.9299,2.00772,0.43265,0.54311,0.47061,0.25847,1.6755,1.9991,2.17738,0.008878,0.008878,0.008878
19,273.913,1.58379,1.8975,1.99815,0.36607,0.60611,0.46645,0.25354,1.62383,1.90001,2.16547,0.008812,0.008812,0.008812
20,287.832,1.55947,1.86121,1.97061,0.33063,0.57675,0.4574,0.22453,1.74651,2.02538,2.23913,0.008746,0.008746,0.008746
21,301.514,1.55829,1.87735,1.96578,0.46729,0.62633,0.55226,0.30811,1.55271,1.74207,2.04369,0.00868,0.00868,0.00868
22,315.349,1.54123,1.83221,1.96181,0.44354,0.60745,0.51167,0.28203,1.6501,1.79978,2.12091,0.008614,0.008614,0.008614
23,328.058,1.52633,1.82274,1.94673,0.41624,0.64998,0.53296,0.29105,1.61941,1.83175,2.08795,0.008548,0.008548,0.008548
24,341.201,1.52792,1.81358,1.94325,0.50221,0.63996,0.55557,0.28872,1.63362,1.72931,2.1364,0.008482,0.008482,0.008482
25,355.096,1.51295,1.81269,1.92863,0.44345,0.59173,0.52594,0.29656,1.59612,1.7645,2.07455,0.008416,0.008416,0.008416
26,368.718,1.52641,1.77391,1.94138,0.49047,0.58876,0.51913,0.29132,1.59449,1.79266,2.0629,0.00835,0.00835,0.00835
27,382.669,1.50175,1.74572,1.91895,0.46653,0.63376,0.55099,0.31016,1.57035,1.74175,2.028,0.008284,0.008284,0.008284
28,395.677,1.47561,1.7243,1.90039,0.44762,0.69509,0.56268,0.3076,1.60988,1.67907,2.08791,0.008218,0.008218,0.008218
29,408.51,1.47926,1.71535,1.89499,0.52853,0.63797,0.56359,0.33709,1.49076,1.62081,1.99778,0.008152,0.008152,0.008152
30,423.014,1.4828,1.71194,1.89915,0.4813,0.67627,0.54696,0.30756,1.54856,1.73093,2.0544,0.008086,0.008086,0.008086
31,437.579,1.47781,1.7316,1.89586,0.51927,0.66796,0.55733,0.32674,1.51813,1.66548,2.02764,0.00802,0.00802,0.00802
32,452.114,1.47215,1.68488,1.89039,0.47019,0.6689,0.56177,0.33582,1.4898,1.62996,1.96593,0.007954,0.007954,0.007954
33,466.529,1.45556,1.69885,1.86685,0.52739,0.63539,0.57227,0.32406,1.55373,1.68185,1.99343,0.007888,0.007888,0.007888
34,480.622,1.4546,1.66629,1.867,0.46121,0.64489,0.53585,0.30633,1.54476,1.6805,2.00824,0.007822,0.007822,0.007822
35,495.263,1.45661,1.65966,1.86435,0.46832,0.61169,0.57013,0.31781,1.5683,1.6115,2.02431,0.007756,0.007756,0.007756
36,509.911,1.46032,1.65574,1.87334,0.52785,0.66705,0.59425,0.3422,1.51248,1.54137,2.01003,0.00769,0.00769,0.00769
37,524.808,1.44172,1.64418,1.85602,0.56231,0.61863,0.61877,0.36218,1.49462,1.52729,1.96912,0.007624,0.007624,0.007624
38,539.648,1.45204,1.62868,1.84999,0.54992,0.59896,0.60261,0.35605,1.4938,1.53188,1.9539,0.007558,0.007558,0.007558
39,554.172,1.43582,1.63821,1.85313,0.48156,0.62866,0.56138,0.32047,1.55724,1.7292,2.00798,0.007492,0.007492,0.007492
40,568.588,1.43215,1.60474,1.83973,0.55006,0.68516,0.62072,0.37702,1.4809,1.48268,1.94331,0.007426,0.007426,0.007426
41,583.132,1.4293,1.61484,1.85192,0.55784,0.6858,0.62834,0.36561,1.47585,1.50057,1.95446,0.00736,0.00736,0.00736
