epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3809,3.15326,4.34276,4.11646,0.00246,0.54849,0.00426,0.00132,2.65373,4.30741,3.9549,0.0702521,0.00330532,0.00330532
2,58.0944,3.14992,4.06505,3.89634,0.29911,0.12493,0.01427,0.00377,2.63438,5.02975,3.8849,0.0402302,0.00661675,0.00661675
3,83.9599,3.09012,3.72575,3.61089,0.00763,0.63654,0.01944,0.00518,2.63151,8.86344,3.46789,0.0101863,0.00990617,0.00990617
4,108.598,2.91515,3.5042,3.37562,0.15293,0.20857,0.0173,0.00382,2.64385,5.65367,3.47105,0.009901,0.009901,0.009901
5,132.743,2.64337,3.29493,3.12187,0.09038,0.26682,0.0949,0.02385,2.34835,4.75478,3.09012,0.009868,0.009868,0.009868
6,155.612,2.39577,3.08026,2.91811,0.25032,0.26815,0.1289,0.03612,2.25816,3.62617,2.95721,0.009835,0.009835,0.009835
7,177.65,2.21148,2.87904,2.74908,0.27657,0.37289,0.15626,0.05817,2.00795,3.3264,2.76068,0.009802,0.009802,0.009802
8,200.923,2.06686,2.70601,2.60679,0.30794,0.34032,0.19311,0.07581,1.95986,3.27516,2.73289,0.009769,0.009769,0.009769
9,223.204,1.98694,2.59163,2.52581,0.36341,0.37344,0.28718,0.12503,1.8665,2.76106,2.58768,0.009736,0.009736,0.009736
10,245.737,1.94774,2.51999,2.46049,0.21362,0.43404,0.27895,0.1295,1.87392,3.11885,2.55607,0.009703,0.009703,0.009703
11,267.839,1.85895,2.41605,2.38369,0.31813,0.43017,0.30842,0.1366,1.82519,2.48434,2.5257,0.00967,0.00967,0.00967
12,289.52,1.81674,2.31408,2.32702,0.36032,0.53341,0.42618,0.22149,1.70044,2.34497,2.35851,0.009637,0.009637,0.009637
13,312.829,1.77114,2.24969,2.28453,0.36286,0.48246,0.40444,0.23496,1.70337,2.28493,2.36631,0.009604,0.009604,0.009604
14,335.617,1.74476,2.19839,2.24248,0.41116,0.4654,0.41075,0.20302,1.735,2.36028,2.40063,0.009571,0.009571,0.009571
