epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9582,3.11799,4.08704,3.78335,0.00492,0.6127,0.02204,0.00516,2.73403,4.02414,3.44961,0.0701266,0.00331927,0.00331927
2,52.5356,2.86339,3.48732,3.29802,0.05228,0.17566,0.05592,0.01888,2.47964,3.93329,3.1247,0.0400827,0.00660869,0.00660869
3,76.7749,2.47114,3.06636,2.92004,0.31504,0.24657,0.14774,0.04816,2.2045,3.51149,2.85291,0.00999477,0.00985412,0.00985412
4,101.372,2.0561,2.65694,2.53307,0.28503,0.41684,0.25203,0.11549,1.91344,2.84786,2.59243,0.009802,0.009802,0.009802
5,126.432,1.82698,2.39631,2.30745,0.29791,0.54909,0.3448,0.14399,1.94533,2.95548,2.56162,0.009736,0.009736,0.009736
6,151.478,1.72659,2.24429,2.20622,0.31968,0.52389,0.35753,0.21255,1.71971,2.51164,2.32424,0.00967,0.00967,0.00967
7,175.487,1.67726,2.14495,2.14026,0.48822,0.55361,0.50395,0.26539,1.63786,2.03349,2.19519,0.009604,0.009604,0.009604
8,200.108,1.61716,2.04422,2.08732,0.40982,0.56138,0.46917,0.24775,1.65829,1.99205,2.21345,0.009538,0.009538,0.009538
9,226.892,1.59625,1.98896,2.0639,0.4269,0.6022,0.48536,0.26645,1.59332,1.94174,2.10094,0.009472,0.009472,0.009472
10,251.081,1.57012,1.93399,2.03949,0.45435,0.57236,0.48922,0.27058,1.64983,1.89553,2.15335,0.009406,0.009406,0.009406
11,275.181,1.55724,1.88479,2.00769,0.36538,0.66637,0.50664,0.28562,1.54239,1.85438,2.09716,0.00934,0.00934,0.00934
12,300.829,1.52901,1.86196,1.98437,0.44093,0.60701,0.53095,0.30289,1.51387,1.79848,2.04677,0.009274,0.009274,0.009274
13,326.905,1.51139,1.83575,1.97237,0.47467,0.66759,0.55277,0.31568,1.55626,1.72548,2.10895,0.009208,0.009208,0.009208
