epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1372,3.1365,4.15618,3.92059,0.00401,0.48859,0.0134,0.00356,2.74079,4.29313,3.61879,0.0701266,0.00331927,0.00331927
2,52.7972,3.05328,3.57811,3.49261,0.1427,0.17568,0.08243,0.01943,2.63302,4.18854,3.30151,0.0400827,0.00660869,0.00660869
3,76.2228,2.56806,3.15082,3.0667,0.19958,0.29948,0.15555,0.07486,2.16574,3.21415,2.92624,0.00999477,0.00985412,0.00985412
4,100.823,2.13524,2.72985,2.64626,0.2964,0.46231,0.27786,0.13804,1.90795,3.31852,2.65099,0.009802,0.009802,0.009802
5,124.704,1.88091,2.44221,2.39118,0.31899,0.4763,0.33683,0.15823,1.82386,2.75922,2.48658,0.009736,0.009736,0.009736
6,148.759,1.75893,2.2757,2.26844,0.39063,0.55954,0.46125,0.23837,1.70121,2.27866,2.35389,0.00967,0.00967,0.00967
7,172.749,1.69668,2.14827,2.18132,0.41294,0.57739,0.44733,0.24763,1.69788,2.10383,2.26982,0.009604,0.009604,0.009604
8,196.738,1.62542,2.03447,2.11584,0.43853,0.59616,0.49512,0.26545,1.61186,1.83997,2.20708,0.009538,0.009538,0.009538
9,221.466,1.60474,1.98105,2.08788,0.40984,0.5502,0.46134,0.25629,1.66865,2.05776,2.29237,0.009472,0.009472,0.009472
10,247.759,1.57362,1.92278,2.05529,0.40818,0.64443,0.4881,0.26637,1.65111,1.99672,2.22176,0.009406,0.009406,0.009406
11,272.095,1.5551,1.88118,2.02397,0.38176,0.59546,0.48669,0.27095,1.5883,1.96099,2.18596,0.00934,0.00934,0.00934
12,296.251,1.53011,1.84682,2.00088,0.46712,0.6395,0.53891,0.31696,1.52975,1.80203,2.08951,0.009274,0.009274,0.009274
13,320.797,1.51413,1.81837,1.98129,0.52354,0.61456,0.55703,0.32743,1.51666,1.72153,2.07708,0.009208,0.009208,0.009208
14,344.62,1.50557,1.78772,1.9732,0.44946,0.62953,0.5519,0.30421,1.56211,1.73051,2.12,0.009142,0.009142,0.009142
15,368.345,1.49379,1.7497,1.95791,0.49701,0.69088,0.59857,0.34233,1.53125,1.67963,2.07871,0.009076,0.009076,0.009076
16,391.758,1.48021,1.72468,1.94336,0.47599,0.68292,0.57216,0.3411,1.47228,1.59518,2.01644,0.00901,0.00901,0.00901
17,417.377,1.47757,1.70532,1.93379,0.4464,0.62361,0.51392,0.29014,1.55404,1.79016,2.10859,0.008944,0.008944,0.008944
18,441.63,1.47224,1.70004,1.92221,0.50484,0.65574,0.57857,0.35289,1.50998,1.54873,2.0457,0.008878,0.008878,0.008878
19,464.909,1.45643,1.66685,1.90633,0.53212,0.67166,0.57794,0.34648,1.46429,1.56396,1.9947,0.008812,0.008812,0.008812
20,489.082,1.45703,1.66842,1.90766,0.47313,0.66286,0.57446,0.34856,1.50508,1.63002,2.03208,0.008746,0.008746,0.008746
21,513.409,1.43106,1.6276,1.88901,0.53009,0.64331,0.56386,0.34196,1.5134,1.58217,2.04829,0.00868,0.00868,0.00868
22,537.386,1.43386,1.61802,1.88229,0.47322,0.67293,0.58825,0.35373,1.46245,1.55194,2.00989,0.008614,0.008614,0.008614
23,561.344,1.43549,1.60819,1.88462,0.46198,0.68566,0.57147,0.35787,1.43771,1.49083,1.9726,0.008548,0.008548,0.008548
24,585.715,1.42574,1.57319,1.87443,0.53012,0.66817,0.62385,0.3901,1.44927,1.45088,1.97734,0.008482,0.008482,0.008482
25,610.675,1.42355,1.56556,1.86464,0.54094,0.66345,0.613,0.38228,1.42028,1.45861,1.93589,0.008416,0.008416,0.008416
26,634.496,1.41529,1.56924,1.86606,0.53448,0.69449,0.61554,0.37145,1.45771,1.45106,1.94849,0.00835,0.00835,0.00835
27,658.997,1.39788,1.54524,1.84715,0.54489,0.65503,0.61431,0.38235,1.41345,1.43424,1.93685,0.008284,0.008284,0.008284
28,685.228,1.39556,1.53012,1.84328,0.55867,0.67749,0.62381,0.39435,1.42308,1.40726,1.94387,0.008218,0.008218,0.008218
29,711.404,1.40331,1.52581,1.8482,0.55354,0.65783,0.64819,0.39792,1.43195,1.4151,1.94328,0.008152,0.008152,0.008152
30,735.341,1.39229,1.50826,1.83688,0.58963,0.65893,0.63066,0.38833,1.44797,1.42326,1.95357,0.008086,0.008086,0.008086
31,760.233,1.37933,1.48947,1.82841,0.53779,0.66919,0.61705,0.3855,1.43556,1.44221,1.95644,0.00802,0.00802,0.00802
32,784.609,1.38533,1.50031,1.83627,0.58297,0.69385,0.6491,0.40525,1.43979,1.42492,1.95877,0.007954,0.007954,0.007954
33,808.641,1.37543,1.48618,1.8212,0.53575,0.69864,0.62734,0.39535,1.43003,1.36863,1.93823,0.007888,0.007888,0.007888
34,832.697,1.36565,1.46107,1.81371,0.59741,0.64599,0.63517,0.40458,1.41865,1.39407,1.92885,0.007822,0.007822,0.007822
35,857.656,1.37221,1.46861,1.82548,0.53243,0.66397,0.64206,0.42087,1.40442,1.38386,1.92609,0.007756,0.007756,0.007756
36,881.71,1.36746,1.4624,1.82703,0.61178,0.64762,0.64499,0.40294,1.44918,1.37613,1.97569,0.00769,0.00769,0.00769
37,906.536,1.35769,1.44078,1.80437,0.61243,0.67144,0.6514,0.41442,1.39728,1.34958,1.90873,0.007624,0.007624,0.007624
38,930.249,1.35304,1.43758,1.79995,0.57238,0.73569,0.67449,0.42264,1.4172,1.31402,1.93668,0.007558,0.007558,0.007558
39,955.429,1.35254,1.42798,1.80624,0.60663,0.71425,0.68283,0.42158,1.4256,1.31206,1.90526,0.007492,0.007492,0.007492
40,979.635,1.34894,1.418,1.79926,0.58964,0.68421,0.68321,0.43127,1.37505,1.28455,1.89231,0.007426,0.007426,0.007426
41,1006.03,1.33933,1.41805,1.79388,0.63643,0.70062,0.69927,0.4363,1.40664,1.31489,1.9244,0.00736,0.00736,0.00736
42,1031.1,1.34472,1.41976,1.78796,0.59036,0.72501,0.68325,0.42771,1.41151,1.33974,1.92403,0.007294,0.007294,0.007294
43,1055.18,1.32485,1.3956,1.7749,0.58386,0.65544,0.65192,0.39862,1.44713,1.33714,1.95208,0.007228,0.007228,0.007228
44,1079.78,1.33232,1.40088,1.7869,0.58787,0.68424,0.67861,0.43114,1.41818,1.2814,1.93655,0.007162,0.007162,0.007162
45,1104.17,1.32534,1.38008,1.77163,0.58373,0.68959,0.67256,0.41656,1.45795,1.31953,1.98009,0.007096,0.007096,0.007096
46,1129.52,1.3317,1.37181,1.77428,0.60431,0.69269,0.68745,0.44486,1.42005,1.28346,1.91581,0.00703,0.00703,0.00703
47,1155.21,1.32281,1.36597,1.77169,0.61025,0.70005,0.70055,0.45048,1.43906,1.25594,1.93621,0.006964,0.006964,0.006964
48,1180.84,1.32126,1.36998,1.76918,0.59051,0.7094,0.69098,0.44405,1.39878,1.28177,1.90604,0.006898,0.006898,0.006898
49,1204.94,1.31738,1.35169,1.76116,0.59968,0.70099,0.6814,0.44418,1.40357,1.28364,1.91931,0.006832,0.006832,0.006832
50,1228.79,1.31439,1.36033,1.76247,0.64881,0.68291,0.69171,0.44126,1.4172,1.27661,1.90726,0.006766,0.006766,0.006766
51,1253.9,1.30976,1.34118,1.75042,0.60962,0.68617,0.65953,0.42042,1.4324,1.2859,1.94641,0.0067,0.0067,0.0067
52,1278.08,1.30712,1.33844,1.75054,0.56012,0.73611,0.67575,0.43364,1.41644,1.2471,1.92914,0.006634,0.006634,0.006634
53,1302.24,1.29791,1.32172,1.74239,0.57356,0.74594,0.67596,0.44171,1.39243,1.25081,1.9075,0.006568,0.006568,0.006568
54,1327.56,1.30238,1.32849,1.75301,0.61743,0.64908,0.68015,0.43124,1.43291,1.28159,1.93617,0.006502,0.006502,0.006502
55,1351.74,1.28965,1.2915,1.72722,0.62181,0.70229,0.68566,0.4494,1.39717,1.24956,1.89258,0.006436,0.006436,0.006436
56,1375.32,1.28959,1.31108,1.73366,0.59386,0.66762,0.65371,0.42814,1.39331,1.27161,1.8926,0.00637,0.00637,0.00637
57,1399.37,1.29383,1.30154,1.74133,0.5976,0.7117,0.6964,0.44849,1.40039,1.22436,1.90705,0.006304,0.006304,0.006304
58,1424.21,1.29229,1.31263,1.73745,0.69078,0.65608,0.70308,0.44676,1.40389,1.25448,1.9103,0.006238,0.006238,0.006238
59,1448.99,1.28082,1.27852,1.73105,0.60954,0.67535,0.6857,0.45023,1.39805,1.21896,1.88565,0.006172,0.006172,0.006172
60,1471.36,1.28201,1.28825,1.71949,0.64503,0.69571,0.71048,0.45824,1.42826,1.23118,1.903,0.006106,0.006106,0.006106
61,1494.57,1.273,1.28149,1.71468,0.58708,0.6987,0.68567,0.45108,1.43153,1.2361,1.93469,0.00604,0.00604,0.00604
62,1518.89,1.27231,1.266,1.71984,0.63139,0.66643,0.69121,0.43921,1.45076,1.23537,1.94776,0.005974,0.005974,0.005974
63,1544.14,1.26464,1.2749,1.71919,0.59568,0.71666,0.68344,0.44143,1.4437,1.26519,1.94286,0.005908,0.005908,0.005908
64,1570.57,1.2659,1.26042,1.70536,0.68666,0.67816,0.70229,0.45264,1.40765,1.22458,1.87431,0.005842,0.005842,0.005842
65,1596.29,1.25385,1.25068,1.7038,0.63552,0.69948,0.6991,0.45427,1.41628,1.21283,1.92001,0.005776,0.005776,0.005776
66,1621.07,1.25551,1.24584,1.69178,0.63336,0.71104,0.69648,0.45041,1.42251,1.23711,1.90682,0.00571,0.00571,0.00571
67,1645.61,1.24668,1.23369,1.68991,0.61783,0.72383,0.70752,0.45371,1.41575,1.21442,1.90904,0.005644,0.005644,0.005644
68,1669.81,1.25648,1.24261,1.7013,0.60839,0.68161,0.68903,0.4454,1.40272,1.20223,1.87638,0.005578,0.005578,0.005578
69,1693.36,1.24692,1.23908,1.69735,0.61278,0.74196,0.69912,0.44897,1.43743,1.24543,1.94804,0.005512,0.005512,0.005512
70,1717.95,1.24621,1.23735,1.69191,0.61026,0.6687,0.67541,0.43431,1.45432,1.27327,1.95088,0.005446,0.005446,0.005446
71,1741.89,1.22803,1.22358,1.67834,0.59202,0.71906,0.68336,0.44659,1.42955,1.19977,1.92093,0.00538,0.00538,0.00538
72,1766.21,1.23749,1.20886,1.67678,0.60468,0.72895,0.68605,0.44016,1.43867,1.21497,1.92025,0.005314,0.005314,0.005314
73,1791.21,1.22853,1.21378,1.66762,0.64055,0.68807,0.69383,0.44347,1.41317,1.20019,1.90247,0.005248,0.005248,0.005248
74,1816.88,1.22926,1.19282,1.66834,0.6644,0.6717,0.70373,0.4549,1.42632,1.19152,1.91025,0.005182,0.005182,0.005182
75,1843.03,1.23403,1.20389,1.6663,0.69017,0.65216,0.71461,0.46094,1.41841,1.19457,1.89691,0.005116,0.005116,0.005116
76,1868.28,1.21988,1.19508,1.66019,0.61281,0.68983,0.69799,0.44669,1.45824,1.21225,1.96304,0.00505,0.00505,0.00505
77,1893.88,1.21708,1.18827,1.65971,0.58906,0.73434,0.69478,0.44596,1.43384,1.22068,1.91829,0.004984,0.004984,0.004984
78,1919.34,1.21267,1.17848,1.65777,0.62598,0.70368,0.6991,0.44978,1.42275,1.20032,1.92618,0.004918,0.004918,0.004918
79,1943.57,1.22016,1.18028,1.6572,0.61984,0.7236,0.70115,0.44884,1.43926,1.20725,1.94303,0.004852,0.004852,0.004852
80,1966.95,1.20566,1.17303,1.64368,0.6068,0.71254,0.69974,0.45002,1.42244,1.211,1.92142,0.004786,0.004786,0.004786
81,1990.47,1.20899,1.1751,1.64869,0.62758,0.70173,0.68913,0.44306,1.43432,1.21481,1.92365,0.00472,0.00472,0.00472
82,2014.72,1.2075,1.17886,1.65066,0.59876,0.68875,0.68095,0.44563,1.45544,1.2128,1.9396,0.004654,0.004654,0.004654
83,2039.69,1.20417,1.16013,1.64303,0.59141,0.68821,0.673,0.43957,1.44902,1.21341,1.93338,0.004588,0.004588,0.004588
84,2064.42,1.19607,1.14972,1.63559,0.63955,0.68226,0.68793,0.44663,1.4419,1.22185,1.93278,0.004522,0.004522,0.004522
85,2089.5,1.19908,1.15618,1.64393,0.5938,0.71279,0.67698,0.43514,1.45365,1.23371,1.94779,0.004456,0.004456,0.004456
86,2115.17,1.20625,1.155,1.64306,0.64882,0.66329,0.68625,0.45244,1.42599,1.21087,1.89187,0.00439,0.00439,0.00439
87,2140.33,1.19021,1.15251,1.62808,0.6068,0.68078,0.67789,0.44614,1.4635,1.21985,1.95155,0.004324,0.004324,0.004324
88,2164.82,1.1896,1.13784,1.62763,0.60721,0.73145,0.69816,0.45321,1.4403,1.1976,1.92507,0.004258,0.004258,0.004258
89,2190.7,1.18589,1.13072,1.62641,0.59997,0.72645,0.69482,0.45398,1.42532,1.20491,1.91954,0.004192,0.004192,0.004192
90,2216.83,1.1739,1.1246,1.60974,0.61132,0.75126,0.71093,0.46316,1.44245,1.195,1.93324,0.004126,0.004126,0.004126
91,2242.27,1.17381,1.12049,1.61629,0.60016,0.68706,0.69234,0.44976,1.45317,1.21442,1.94205,0.00406,0.00406,0.00406
92,2266.7,1.16847,1.11724,1.60917,0.65334,0.6615,0.69782,0.44071,1.45826,1.23338,1.94567,0.003994,0.003994,0.003994
93,2290.82,1.16878,1.10321,1.61006,0.62071,0.69941,0.69278,0.44793,1.47182,1.20582,1.95179,0.003928,0.003928,0.003928
94,2316.41,1.17134,1.11071,1.613,0.62467,0.71164,0.70021,0.44917,1.4645,1.19188,1.94415,0.003862,0.003862,0.003862
95,2342.16,1.1585,1.1024,1.60151,0.60393,0.71638,0.68891,0.44882,1.48406,1.20102,1.96414,0.003796,0.003796,0.003796
96,2368.09,1.16166,1.09201,1.60241,0.64403,0.65799,0.69086,0.45099,1.47742,1.20027,1.96586,0.00373,0.00373,0.00373
97,2392.51,1.15672,1.09625,1.60487,0.61961,0.73718,0.71541,0.46085,1.47342,1.18776,1.96051,0.003664,0.003664,0.003664
98,2418.16,1.15643,1.09353,1.59484,0.62514,0.75944,0.71489,0.45628,1.47642,1.19472,1.96412,0.003598,0.003598,0.003598
99,2444.01,1.15851,1.09114,1.59957,0.63441,0.69401,0.71097,0.46016,1.47109,1.21884,1.97141,0.003532,0.003532,0.003532
