epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8566,3.13566,4.15812,3.93875,0.4458,0.01843,0.02387,0.00852,2.71413,4.26504,3.75156,0.0701266,0.00331927,0.00331927
2,51.7559,2.98606,3.57475,3.4385,0.03759,0.15062,0.01528,0.005,2.6246,4.73337,3.23734,0.0400827,0.00660869,0.00660869
3,77.8623,2.55611,3.11284,3.00933,0.13051,0.20636,0.09541,0.03484,2.19257,3.6208,2.92844,0.00999477,0.00985412,0.00985412
4,105.013,2.12205,2.71345,2.6167,0.25594,0.42839,0.27095,0.12578,1.93144,3.12444,2.63035,0.009802,0.009802,0.009802
5,130.415,1.87092,2.42773,2.37718,0.34874,0.48266,0.35941,0.15688,1.91758,2.5656,2.57235,0.009736,0.009736,0.009736
6,155.343,1.75243,2.26487,2.26269,0.35673,0.55089,0.38653,0.21336,1.75371,2.44625,2.38211,0.00967,0.00967,0.00967
7,181.267,1.69226,2.15235,2.18325,0.4659,0.58502,0.49067,0.25427,1.68392,2.08489,2.30626,0.009604,0.009604,0.009604
8,207.105,1.62877,2.0445,2.12307,0.37629,0.58364,0.44048,0.24835,1.61693,2.02758,2.20518,0.009538,0.009538,0.009538
9,231.944,1.60217,1.97698,2.08875,0.46,0.52034,0.43666,0.2279,1.69399,2.16897,2.25435,0.009472,0.009472,0.009472
10,256.504,1.57304,1.92834,2.0669,0.41473,0.59007,0.49509,0.26328,1.66551,1.94374,2.21832,0.009406,0.009406,0.009406
11,281.152,1.55931,1.87893,2.04597,0.44158,0.63163,0.51803,0.28801,1.5326,1.81912,2.12783,0.00934,0.00934,0.00934
12,306.812,1.53324,1.85815,2.0177,0.47173,0.68198,0.55794,0.31041,1.53612,1.8115,2.12509,0.009274,0.009274,0.009274
13,333.042,1.51759,1.82327,2.00334,0.50214,0.56885,0.52688,0.31447,1.53308,1.74654,2.11011,0.009208,0.009208,0.009208
14,358.075,1.50546,1.78999,1.98678,0.46517,0.66894,0.5914,0.33911,1.52769,1.63826,2.08464,0.009142,0.009142,0.009142
15,382.934,1.49401,1.75846,1.9703,0.4525,0.67405,0.56675,0.31731,1.54877,1.68041,2.1076,0.009076,0.009076,0.009076
16,407.05,1.48038,1.73007,1.9509,0.50766,0.67054,0.60255,0.35306,1.4848,1.58823,2.03938,0.00901,0.00901,0.00901
17,431.31,1.47346,1.7117,1.94608,0.50023,0.6644,0.59164,0.33845,1.53565,1.62837,2.08173,0.008944,0.008944,0.008944
18,456.161,1.46717,1.68974,1.93652,0.49162,0.66428,0.59943,0.34862,1.53987,1.61168,2.09688,0.008878,0.008878,0.008878
19,480.601,1.45391,1.66432,1.92432,0.48398,0.69364,0.58491,0.35242,1.4586,1.52361,1.99444,0.008812,0.008812,0.008812
20,505.74,1.45985,1.66231,1.92297,0.41263,0.71657,0.56907,0.35115,1.46873,1.58434,1.99364,0.008746,0.008746,0.008746
21,530.925,1.43008,1.6319,1.90104,0.49773,0.68276,0.60059,0.365,1.51013,1.51335,2.03702,0.00868,0.00868,0.00868
22,556.04,1.43109,1.61034,1.89685,0.55315,0.66349,0.63063,0.37281,1.47172,1.5189,2.01729,0.008614,0.008614,0.008614
23,580.505,1.43624,1.59905,1.89302,0.51824,0.64575,0.60492,0.36357,1.49506,1.51001,2.01447,0.008548,0.008548,0.008548
24,605.511,1.42269,1.57117,1.88431,0.51776,0.71409,0.62964,0.38327,1.5001,1.48007,2.01919,0.008482,0.008482,0.008482
25,631.72,1.42125,1.56986,1.87569,0.52181,0.67984,0.6114,0.38129,1.43901,1.44442,1.9701,0.008416,0.008416,0.008416
26,657.248,1.40993,1.56502,1.87068,0.53896,0.70732,0.62746,0.37669,1.47241,1.45967,1.9822,0.00835,0.00835,0.00835
27,681.6,1.39584,1.5381,1.85825,0.50232,0.64937,0.60431,0.37944,1.46847,1.45214,1.99298,0.008284,0.008284,0.008284
28,705.262,1.39215,1.53079,1.85391,0.50514,0.681,0.61346,0.38042,1.45283,1.43146,1.98489,0.008218,0.008218,0.008218
