epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1361,3.09836,4.0754,3.76964,0.0059,0.59348,0.0282,0.00575,2.72191,4.04572,3.41845,0.0701266,0.00331927,0.00331927
2,53.5512,2.85091,3.43994,3.26081,0.17977,0.08264,0.03364,0.00954,2.5981,4.50417,3.18176,0.0400827,0.00660869,0.00660869
3,81.493,2.43604,3.0419,2.87387,0.09093,0.14188,0.07957,0.02903,2.27653,3.57735,2.932,0.00999477,0.00985412,0.00985412
4,110.003,2.05704,2.67487,2.51997,0.20618,0.38276,0.22376,0.11457,2.0137,3.33115,2.66098,0.009802,0.009802,0.009802
5,138.571,1.86123,2.43298,2.3133,0.303,0.43158,0.29199,0.12362,2.131,2.92138,2.72069,0.009736,0.009736,0.009736
6,166.429,1.75095,2.26883,2.19886,0.40207,0.46094,0.38072,0.20768,1.70076,2.40421,2.27353,0.00967,0.00967,0.00967
7,191.868,1.69303,2.16768,2.13069,0.38585,0.58455,0.47144,0.25389,1.68044,2.00333,2.22333,0.009604,0.009604,0.009604
8,218.589,1.63001,2.06586,2.08007,0.45022,0.59134,0.50616,0.27676,1.65733,2.02334,2.18756,0.009538,0.009538,0.009538
9,244.791,1.60721,1.99366,2.04727,0.32777,0.48316,0.32856,0.18017,1.6584,2.64695,2.23003,0.009472,0.009472,0.009472
10,271.182,1.57645,1.93846,2.01635,0.4179,0.55986,0.44166,0.25945,1.61369,2.28496,2.15714,0.009406,0.009406,0.009406
11,298.56,1.56371,1.88493,1.9895,0.46761,0.62633,0.51804,0.29474,1.52169,1.82988,2.06626,0.00934,0.00934,0.00934
12,326.88,1.53789,1.86279,1.97041,0.42251,0.62698,0.5005,0.27697,1.52902,1.8594,2.0367,0.009274,0.009274,0.009274
13,356.093,1.52184,1.83158,1.95232,0.42595,0.71347,0.54215,0.31774,1.51297,1.73312,2.03339,0.009208,0.009208,0.009208
14,382.978,1.51437,1.79781,1.93391,0.43666,0.63781,0.53726,0.3044,1.55029,1.68637,2.01357,0.009142,0.009142,0.009142
15,410.07,1.50053,1.77117,1.92654,0.48011,0.66369,0.56859,0.3216,1.57226,1.67299,2.04026,0.009076,0.009076,0.009076
16,435.973,1.4898,1.73829,1.90735,0.42438,0.61408,0.53675,0.32582,1.51055,1.59901,1.9994,0.00901,0.00901,0.00901
17,461.031,1.48317,1.72248,1.89819,0.44425,0.61126,0.52786,0.2959,1.57324,1.69724,2.04241,0.008944,0.008944,0.008944
18,487.692,1.47728,1.70482,1.88966,0.45525,0.65057,0.54093,0.32031,1.53943,1.62909,1.98756,0.008878,0.008878,0.008878
19,514.5,1.46851,1.68518,1.88404,0.50231,0.67279,0.56189,0.33137,1.51191,1.54374,1.98457,0.008812,0.008812,0.008812
20,541.86,1.46974,1.67313,1.88055,0.46058,0.59636,0.55686,0.33043,1.52295,1.63252,1.96401,0.008746,0.008746,0.008746
21,569.018,1.43898,1.64682,1.85971,0.46578,0.70435,0.55726,0.32067,1.54018,1.56989,1.99875,0.00868,0.00868,0.00868
22,596.55,1.44289,1.63407,1.85398,0.48355,0.69877,0.58741,0.3555,1.47231,1.51528,1.94703,0.008614,0.008614,0.008614
23,623.169,1.43986,1.6248,1.8587,0.52633,0.66701,0.5877,0.35778,1.46034,1.49617,1.91255,0.008548,0.008548,0.008548
24,651.19,1.43251,1.59189,1.8502,0.46419,0.72311,0.6035,0.36184,1.49123,1.49601,1.94042,0.008482,0.008482,0.008482
25,677.38,1.43237,1.58986,1.84566,0.46842,0.67227,0.58567,0.34925,1.46185,1.49509,1.92481,0.008416,0.008416,0.008416
26,704.639,1.41983,1.5834,1.8369,0.47945,0.67893,0.58553,0.3425,1.51538,1.52062,1.97317,0.00835,0.00835,0.00835
