epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3632,3.13924,4.2525,4.0524,0.00994,0.05056,0.00873,0.00253,2.69492,5.05937,4.10787,0.0701266,0.00331927,0.00331927
2,51.5708,3.12934,3.84588,3.65688,0.73731,0.04437,0.02798,0.0074,2.66651,5.12552,3.38745,0.0400827,0.00660869,0.00660869
3,77.7513,2.75178,3.34149,3.19376,0.20963,0.25151,0.06652,0.02065,2.35763,4.09192,3.0806,0.00999477,0.00985412,0.00985412
4,103.311,2.25197,2.90002,2.74972,0.30013,0.41105,0.17051,0.06759,2.00967,3.97756,2.71067,0.009802,0.009802,0.009802
5,128.514,1.93662,2.52898,2.44287,0.30988,0.5105,0.31644,0.13665,1.91994,2.75452,2.58198,0.009736,0.009736,0.009736
6,153.577,1.79834,2.3312,2.29692,0.39667,0.48025,0.37478,0.19275,1.84097,2.38766,2.48075,0.00967,0.00967,0.00967
7,179.249,1.72647,2.20184,2.20843,0.44689,0.53983,0.47726,0.24724,1.6825,2.08898,2.27546,0.009604,0.009604,0.009604
8,204.722,1.65794,2.0863,2.14033,0.44609,0.57993,0.47478,0.25879,1.62854,2.12219,2.21354,0.009538,0.009538,0.009538
9,230.602,1.62584,2.0067,2.10332,0.46532,0.57257,0.44899,0.25537,1.65396,2.02868,2.256,0.009472,0.009472,0.009472
10,255.417,1.59484,1.94448,2.07575,0.40632,0.54934,0.45749,0.25255,1.73688,2.15797,2.29796,0.009406,0.009406,0.009406
11,280.91,1.57938,1.88998,2.05257,0.40362,0.56268,0.4953,0.28153,1.57386,1.95805,2.16441,0.00934,0.00934,0.00934
12,305.245,1.54623,1.87007,2.01657,0.48684,0.5802,0.51121,0.29814,1.54134,1.88752,2.13363,0.009274,0.009274,0.009274
13,329.076,1.52781,1.82586,1.99737,0.49411,0.59657,0.52566,0.29864,1.631,1.83059,2.2107,0.009208,0.009208,0.009208
14,352.619,1.51755,1.79393,1.97745,0.51125,0.61416,0.56714,0.31793,1.57366,1.68576,2.10614,0.009142,0.009142,0.009142
15,378.019,1.50534,1.76647,1.96235,0.4737,0.6569,0.55074,0.32664,1.52659,1.74397,2.0594,0.009076,0.009076,0.009076
16,403.205,1.49012,1.7303,1.94718,0.45795,0.67828,0.59158,0.35345,1.50378,1.57349,2.03882,0.00901,0.00901,0.00901
17,427.066,1.47845,1.71424,1.92726,0.5374,0.63998,0.58291,0.33764,1.53446,1.64141,2.07386,0.008944,0.008944,0.008944
18,451.961,1.47565,1.70178,1.92579,0.53859,0.6359,0.59135,0.36485,1.51754,1.58608,2.04369,0.008878,0.008878,0.008878
19,477.739,1.45957,1.6777,1.91257,0.50708,0.7251,0.61206,0.37134,1.46377,1.55596,2.01032,0.008812,0.008812,0.008812
20,504.164,1.46935,1.66207,1.91621,0.50702,0.65248,0.59633,0.36469,1.47725,1.58163,2.0029,0.008746,0.008746,0.008746
21,528.325,1.43632,1.63143,1.89137,0.51218,0.65528,0.57026,0.3375,1.50175,1.55423,2.03355,0.00868,0.00868,0.00868
22,553.878,1.4368,1.61974,1.8838,0.53683,0.67302,0.62633,0.39282,1.43746,1.4946,1.97768,0.008614,0.008614,0.008614
23,579.405,1.43582,1.60672,1.88146,0.47284,0.71637,0.59676,0.37472,1.45839,1.54559,1.99576,0.008548,0.008548,0.008548
24,605.923,1.42627,1.57666,1.87572,0.49733,0.68508,0.58689,0.37084,1.45807,1.4333,1.98162,0.008482,0.008482,0.008482
25,630.452,1.42266,1.56583,1.86746,0.52845,0.65001,0.61968,0.38887,1.41874,1.44943,1.93551,0.008416,0.008416,0.008416
26,653.716,1.41281,1.56757,1.85954,0.55253,0.69646,0.63046,0.39511,1.46855,1.40766,1.97284,0.00835,0.00835,0.00835
27,677.746,1.39858,1.54742,1.84057,0.54258,0.64715,0.60952,0.38706,1.43351,1.45916,1.94738,0.008284,0.008284,0.008284
28,702.262,1.39222,1.52718,1.83952,0.57959,0.6947,0.65893,0.4158,1.4496,1.44289,1.97323,0.008218,0.008218,0.008218
29,726.625,1.40197,1.52389,1.84326,0.60131,0.6681,0.65555,0.39573,1.49241,1.43077,1.98935,0.008152,0.008152,0.008152
30,750.901,1.39512,1.5066,1.83716,0.52703,0.70554,0.60645,0.37593,1.49607,1.47508,1.99582,0.008086,0.008086,0.008086
31,774.787,1.38155,1.48374,1.8225,0.57611,0.65238,0.62806,0.38463,1.45055,1.44421,1.95325,0.00802,0.00802,0.00802
32,798.218,1.38218,1.48973,1.82613,0.61405,0.68223,0.64929,0.40232,1.43301,1.41026,1.94513,0.007954,0.007954,0.007954
33,822.438,1.37242,1.48025,1.81495,0.54438,0.71121,0.64475,0.41098,1.45539,1.36431,1.96834,0.007888,0.007888,0.007888
34,848.163,1.36252,1.4583,1.80828,0.61106,0.63966,0.64664,0.39969,1.46495,1.38701,1.95328,0.007822,0.007822,0.007822
35,872.39,1.3727,1.46149,1.81817,0.54545,0.69375,0.63467,0.40148,1.45065,1.38186,1.96873,0.007756,0.007756,0.007756
36,896.832,1.36281,1.4505,1.81259,0.62029,0.67892,0.67077,0.41934,1.42145,1.36642,1.93568,0.00769,0.00769,0.00769
37,922.93,1.34841,1.43642,1.79274,0.57087,0.69676,0.64622,0.41084,1.41753,1.37128,1.93358,0.007624,0.007624,0.007624
38,947.487,1.34876,1.43407,1.79004,0.53592,0.7674,0.66998,0.41975,1.43436,1.34244,1.94477,0.007558,0.007558,0.007558
39,972.496,1.34885,1.41567,1.79392,0.56214,0.71548,0.64796,0.4115,1.41847,1.32144,1.91841,0.007492,0.007492,0.007492
40,997.228,1.34394,1.40883,1.78353,0.62497,0.69628,0.67384,0.43471,1.43778,1.2888,1.92378,0.007426,0.007426,0.007426
41,1022.11,1.33957,1.40733,1.78094,0.58629,0.73618,0.68531,0.43131,1.40758,1.30778,1.93701,0.00736,0.00736,0.00736
42,1046.3,1.33859,1.40786,1.78209,0.58438,0.67243,0.66647,0.41659,1.44984,1.33443,1.96614,0.007294,0.007294,0.007294
43,1070.28,1.32377,1.3826,1.76187,0.59705,0.68839,0.66611,0.42347,1.4311,1.29108,1.92762,0.007228,0.007228,0.007228
44,1093.71,1.32412,1.38757,1.76715,0.6473,0.65096,0.68578,0.43412,1.42327,1.27561,1.92695,0.007162,0.007162,0.007162
45,1119.87,1.32377,1.36492,1.75356,0.62997,0.72194,0.69382,0.4295,1.44527,1.27642,1.9442,0.007096,0.007096,0.007096
46,1145.2,1.32536,1.35616,1.75627,0.61979,0.66889,0.67597,0.43273,1.44172,1.29406,1.92975,0.00703,0.00703,0.00703
47,1170.29,1.31762,1.34807,1.75473,0.63026,0.68359,0.69091,0.43975,1.43173,1.26634,1.93911,0.006964,0.006964,0.006964
48,1194.38,1.31163,1.34898,1.74786,0.57381,0.73911,0.684,0.43676,1.46934,1.32173,1.95673,0.006898,0.006898,0.006898
49,1218.68,1.30646,1.33271,1.74075,0.57764,0.73102,0.68028,0.43195,1.43319,1.25544,1.90742,0.006832,0.006832,0.006832
50,1243.6,1.30952,1.3435,1.74795,0.63071,0.67761,0.67178,0.42533,1.436,1.29648,1.93262,0.006766,0.006766,0.006766
51,1267.07,1.30405,1.33204,1.7352,0.63636,0.73662,0.68858,0.44073,1.43489,1.28329,1.93673,0.0067,0.0067,0.0067
52,1291.02,1.30186,1.32055,1.73271,0.59244,0.7156,0.6921,0.42627,1.45707,1.2341,1.93051,0.006634,0.006634,0.006634
53,1317.49,1.28992,1.30694,1.72264,0.66833,0.64147,0.672,0.43395,1.42722,1.27666,1.90725,0.006568,0.006568,0.006568
54,1341.65,1.29223,1.30498,1.72519,0.58958,0.73053,0.67089,0.43226,1.46167,1.28287,1.96455,0.006502,0.006502,0.006502
55,1366.1,1.28337,1.28025,1.71295,0.64614,0.68937,0.6905,0.43955,1.44584,1.25222,1.92504,0.006436,0.006436,0.006436
56,1391.25,1.28544,1.29788,1.71745,0.61532,0.71088,0.68285,0.44391,1.41094,1.25065,1.88785,0.00637,0.00637,0.00637
57,1415,1.28145,1.28362,1.71218,0.61211,0.73081,0.71356,0.4537,1.43537,1.23282,1.93657,0.006304,0.006304,0.006304
58,1439.22,1.28129,1.28933,1.71305,0.69453,0.65048,0.69927,0.45697,1.43087,1.28094,1.91507,0.006238,0.006238,0.006238
59,1463.01,1.27004,1.25807,1.70833,0.56727,0.7382,0.69976,0.44571,1.4582,1.25939,1.94412,0.006172,0.006172,0.006172
60,1487.26,1.27051,1.26448,1.70271,0.69082,0.68623,0.72153,0.45751,1.43034,1.22575,1.8891,0.006106,0.006106,0.006106
61,1512.43,1.26003,1.26654,1.69349,0.57161,0.77806,0.6939,0.44896,1.44504,1.28851,1.938,0.00604,0.00604,0.00604
62,1536.6,1.25986,1.25108,1.69578,0.60508,0.73343,0.71493,0.46163,1.41734,1.22375,1.90773,0.005974,0.005974,0.005974
63,1561.19,1.25501,1.25321,1.69441,0.62665,0.7039,0.70702,0.45661,1.45332,1.2506,1.93798,0.005908,0.005908,0.005908
64,1586.49,1.25655,1.23658,1.68664,0.65315,0.66767,0.70525,0.45096,1.45266,1.22259,1.90205,0.005842,0.005842,0.005842
65,1612.56,1.24334,1.22498,1.68056,0.63548,0.69406,0.7095,0.45539,1.42395,1.2324,1.91149,0.005776,0.005776,0.005776
66,1637.61,1.24445,1.22788,1.67528,0.68401,0.68348,0.7217,0.46756,1.41609,1.22282,1.898,0.00571,0.00571,0.00571
67,1662.52,1.23749,1.21405,1.66809,0.61705,0.73515,0.71186,0.45833,1.42238,1.22657,1.89374,0.005644,0.005644,0.005644
68,1686.91,1.23686,1.22303,1.66642,0.61849,0.76591,0.72562,0.46455,1.41961,1.21563,1.88794,0.005578,0.005578,0.005578
69,1710.64,1.23474,1.2163,1.66578,0.62777,0.74473,0.72411,0.4607,1.43554,1.25764,1.91499,0.005512,0.005512,0.005512
70,1734.59,1.23344,1.21632,1.66969,0.66347,0.6962,0.71564,0.44324,1.46656,1.23569,1.92876,0.005446,0.005446,0.005446
71,1758.55,1.2208,1.20006,1.66065,0.64823,0.70824,0.70913,0.45506,1.43722,1.21246,1.91224,0.00538,0.00538,0.00538
72,1782.39,1.22214,1.18737,1.65062,0.64349,0.70828,0.7157,0.46153,1.43486,1.21238,1.92149,0.005314,0.005314,0.005314
73,1806.13,1.21556,1.19119,1.644,0.61325,0.73703,0.70917,0.45303,1.43278,1.23436,1.912,0.005248,0.005248,0.005248
74,1830.56,1.21382,1.17374,1.64186,0.611,0.74294,0.69136,0.45018,1.45144,1.22157,1.92489,0.005182,0.005182,0.005182
75,1856.36,1.21792,1.17075,1.63425,0.67017,0.68,0.71195,0.45798,1.46027,1.19891,1.92533,0.005116,0.005116,0.005116
