epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.853,3.14321,4.18922,3.96434,0.00405,0.53919,0.0121,0.00332,2.69358,4.2337,3.81937,0.0701266,0.00331927,0.00331927
2,52.3682,3.03868,3.63376,3.50038,0.46079,0.11843,0.0431,0.01072,2.63717,3.70414,3.25152,0.0400827,0.00660869,0.00660869
3,79.424,2.62213,3.17242,3.06916,0.1533,0.34659,0.12464,0.03845,2.25994,3.42222,2.92299,0.00999477,0.00985412,0.00985412
4,103.431,2.13869,2.77606,2.62249,0.41647,0.31862,0.28717,0.12863,1.94653,3.42445,2.59964,0.009802,0.009802,0.009802
5,129.014,1.90464,2.47059,2.37772,0.32211,0.45996,0.30694,0.12195,1.89675,2.63982,2.5165,0.009736,0.009736,0.009736
6,154.007,1.77367,2.28982,2.25502,0.39438,0.53521,0.4069,0.21631,1.73736,2.26198,2.37527,0.00967,0.00967,0.00967
7,180.815,1.7073,2.17263,2.17327,0.34492,0.53967,0.44163,0.25631,1.6529,2.04873,2.25097,0.009604,0.009604,0.009604
8,207.425,1.63699,2.05875,2.10722,0.33449,0.43839,0.34613,0.17136,1.76417,2.44941,2.28379,0.009538,0.009538,0.009538
9,232.697,1.60512,1.99186,2.06979,0.46806,0.56632,0.49318,0.28324,1.59394,2.00262,2.16988,0.009472,0.009472,0.009472
10,257.592,1.57903,1.92714,2.04432,0.39243,0.55904,0.47404,0.25763,1.63838,2.01488,2.17278,0.009406,0.009406,0.009406
11,282.72,1.5589,1.87038,2.02169,0.42265,0.57505,0.50959,0.29454,1.55262,1.99377,2.13163,0.00934,0.00934,0.00934
12,307.375,1.53349,1.85733,1.99517,0.46538,0.61746,0.54461,0.29441,1.56075,1.86498,2.10104,0.009274,0.009274,0.009274
13,333.297,1.51334,1.81884,1.97358,0.43681,0.60042,0.51684,0.29786,1.60028,1.8259,2.1424,0.009208,0.009208,0.009208
14,358.658,1.50341,1.78474,1.96502,0.50672,0.65832,0.57198,0.32056,1.53295,1.66981,2.08813,0.009142,0.009142,0.009142
15,384.327,1.49633,1.75028,1.94955,0.46389,0.66349,0.55577,0.33248,1.51971,1.70864,2.03843,0.009076,0.009076,0.009076
16,409.958,1.48369,1.72167,1.93013,0.50815,0.61454,0.568,0.34403,1.48325,1.57426,1.99368,0.00901,0.00901,0.00901
17,436.409,1.47478,1.69724,1.91936,0.51615,0.6099,0.55387,0.29238,1.6085,1.72553,2.13834,0.008944,0.008944,0.008944
18,462.517,1.47069,1.68421,1.91005,0.49406,0.68133,0.5859,0.34527,1.51247,1.57839,2.04453,0.008878,0.008878,0.008878
19,487.086,1.45678,1.66191,1.89758,0.5498,0.6872,0.6023,0.35659,1.46475,1.51799,2.01477,0.008812,0.008812,0.008812
20,511.786,1.4601,1.65675,1.90353,0.53386,0.64071,0.58159,0.3573,1.50609,1.56817,2.04275,0.008746,0.008746,0.008746
21,536.918,1.42686,1.62134,1.88041,0.49147,0.72083,0.58052,0.3456,1.49806,1.52355,2.0201,0.00868,0.00868,0.00868
22,562.478,1.43498,1.61501,1.87714,0.51173,0.71471,0.58267,0.36066,1.4379,1.5203,1.96304,0.008614,0.008614,0.008614
23,587.499,1.43388,1.59783,1.87133,0.51743,0.69508,0.62488,0.38357,1.42779,1.50151,1.94853,0.008548,0.008548,0.008548
24,612.127,1.42439,1.57242,1.86519,0.4962,0.65708,0.58507,0.37021,1.46007,1.44895,1.95772,0.008482,0.008482,0.008482
25,637.457,1.42528,1.55872,1.86007,0.53667,0.66197,0.57524,0.3616,1.42985,1.49064,1.95898,0.008416,0.008416,0.008416
26,662.749,1.41289,1.56419,1.8567,0.53996,0.71864,0.62096,0.37291,1.45858,1.44094,1.95326,0.00835,0.00835,0.00835
27,687.988,1.39946,1.54208,1.83555,0.56166,0.66648,0.60097,0.37339,1.44083,1.45639,1.95309,0.008284,0.008284,0.008284
28,714.269,1.38989,1.53003,1.83334,0.55525,0.67636,0.61382,0.37386,1.44763,1.45386,1.96485,0.008218,0.008218,0.008218
29,740.444,1.40006,1.52882,1.84042,0.52781,0.69652,0.60904,0.37299,1.47875,1.43476,1.98735,0.008152,0.008152,0.008152
30,766.813,1.38589,1.50122,1.82095,0.51235,0.65453,0.59976,0.36673,1.49675,1.45303,1.97269,0.008086,0.008086,0.008086
31,792.261,1.37801,1.48397,1.81702,0.51678,0.68406,0.58785,0.35329,1.46328,1.4616,1.97912,0.00802,0.00802,0.00802
32,818.568,1.38411,1.49073,1.82406,0.51537,0.70172,0.62023,0.38482,1.4335,1.41829,1.943,0.007954,0.007954,0.007954
33,844.093,1.37411,1.48945,1.81241,0.51935,0.6888,0.60123,0.3738,1.45233,1.41028,1.95565,0.007888,0.007888,0.007888
34,869.459,1.36125,1.46481,1.806,0.56556,0.64903,0.61695,0.38757,1.4323,1.40813,1.9264,0.007822,0.007822,0.007822
35,894.77,1.36663,1.46737,1.81074,0.52649,0.67768,0.62022,0.40034,1.40011,1.44308,1.92625,0.007756,0.007756,0.007756
36,919.987,1.36261,1.45568,1.81169,0.58427,0.62826,0.64296,0.39763,1.43754,1.42907,1.9458,0.00769,0.00769,0.00769
37,945.224,1.35316,1.43445,1.79635,0.61357,0.66183,0.63045,0.39541,1.42806,1.37068,1.92609,0.007624,0.007624,0.007624
38,970.505,1.35304,1.4322,1.79275,0.58442,0.69414,0.66229,0.40593,1.44876,1.35368,1.96264,0.007558,0.007558,0.007558
39,995.32,1.3465,1.4185,1.78879,0.55767,0.69588,0.66102,0.40909,1.4245,1.31635,1.90255,0.007492,0.007492,0.007492
40,1020.45,1.34396,1.41408,1.78246,0.68095,0.63499,0.688,0.43942,1.42485,1.30272,1.93701,0.007426,0.007426,0.007426
